"Top Level Organization","Opportunity Owner","Created By","Opportunity Name","Brand/Logo","Opportunity Record Type","Stage","? Estimated ACV","Expansion ACV Increase","?Opportunity Locations","Location Cohort","Created Date","Close Date","Age","Lead Source","Trade Show","Opportunity Notes","Loss Reason Notes","?Type of Contract","Count Balance","Count Base/Insights","Count Compass","Count Guard","Count Recover","Count Re-engage","Count TruROI","Count TruROI+","Count White Glove"
"Subway of Urbana","Simon Salomon","Chandler Zombek","Subway of Urbana - Subway - 25","Subway","New Business","No Show","0.00","","","Unknown","12/3/2025","1/2/2026","30.0000000000","SDR","","","","Standard","0","0","0","0","0","0","0","0","0"
"Shaking Crab","James Chavious","Olivia Johnson","Shaking Crab - Shaking Crab  - 10","Shaking Crab","New Business","No Show","0.00","","","Unknown","12/3/2025","1/2/2026","30.0000000000","SDR","","","","Standard","0","0","0","0","0","0","0","0","0"
"Five Guys Corporate","Tyrell Belle","Tyrell Belle","Five Guys Corporate - Five Guys - 1526","Five Guys","New Business","New - Meeting Set","0.00","","1526","Ent","2/4/2026","3/6/2026","30.0000000000","SDR","","","","Standard","0","0","0","0","0","0","0","0","0"
"Kallinteris Family","Sarra Herlich","Brad Dressler","Kallinteris Family - McDonald's -","McDonald's","New Business","No Show","2400.00","","4","SMB","12/3/2025","3/31/2026","118.0000000000","SDR","","","","Standard","0","0","0","0","0","0","0","0","0"
"Taco Bamba","Matt Bullock","Jimmy Schrepel","Taco Bamba - Taco Bamba  - 16","Taco Bamba","New Business","Business Case","48000.00","","16","MM","12/3/2025","3/31/2026","93.0000000000","SDR","","12/19/25: Discussed ROI analysis and Loop platform modules (Recover, Guard, Balance, True ROI) for Taco Bamba. Chargeback recovery (Recover) appears to be of immediate interest; estimated $200?$210/month/store could be recovered vs current $70/store/month, with combination of AI and human processes. Guard (downtime mitigation) findings were questioned; Taco Bamba is updating cell backups and expects lower downtime?requested further clarity on Loop data sources.
True ROI (marketing) drew significant discussion, with requests to ensure impact is measured by revenue/volume rather than just % organic sales. Charissa and Rik noted high internal sensitivity to marketing spend and strategy control, likely necessitating a staged pilot (a few stores, some high/low performers, evaluated over several months), especially given cost of $150/store/month for marketing module vs $50/store/month for other modules.
Finance (Luis, Peter, Nick) will need to participate in next steps. Clear ask for a module-by-module ROI ?single pane of glass,? breaking down costs and anticipated benefits. Follow-up call with broader team to be scheduled after Jan 7, pending Charissa?s family emergency. Charissa and Rik to internally prep team; Matt to send deck, ROI breakdown, and suggested next call dates.
12/5/25: Taco Bamba is evaluating Loop AI as a third-party delivery profitability tool to automate and improve management of chargebacks, store downtime, marketing spend, and financial reconciliation as they scale (currently ~30% of revenue is digital/third party). Key stakeholders are Rik Reinhardt (IT) and Charissa Costa (third-party delivery lead), both seeking solutions to reduce labor hours currently spent on manual reporting and dispute management (notably, one team member spends nearly a day weekly on chargebacks). Strong interest in automating guest recovery, integrating with internal systems (Toast, possible loyalty platforms like Thanks), and getting more actionable, granular data. Concerns were raised about providing backend access?specifically looking for security assurances (SOC 2, contractual protection, or NDA). Next steps: Matt Bullock to provide a follow-up deck, ROI estimates, modular pricing, answers on coupon integration for guest recovery, and documentation around data access/culpability. Possible follow-up demo and ROI review set for December 16 after board meeting.","","Standard","0","0","0","0","0","0","0","0","0"
"Loose Leaf Boba Company","James Chavious","Olivia Johnson","Loose Leaf Boba Company - Loose Leaf Boba Company - 2","Loose Leaf Boba Company","New Business","No Show","0.00","","","Unknown","12/3/2025","1/2/2026","30.0000000000","SDR","","","","Standard","0","0","0","0","0","0","0","0","0"
"Krishna Desai - Wayback Burger","Simon Salomon","Josue Sanchez","Krishna Desai - Wayback Burger - Wayback Burgers -","Wayback Burgers","New Business","No Show","0.00","","","Unknown","12/3/2025","1/2/2026","30.0000000000","SDR","","","","Standard","0","0","0","0","0","0","0","0","0"
"Wojo LLC","Alexis Marrero","Brad Dressler","Wojo LLC - McDonald's -","McDonald's","New Business","Demo","4800.00","","8","SMB","12/4/2025","3/31/2026","92.0000000000","SDR","","1/19/26: - Prospect: Wojo LLC (Jerry Crabtree), 8 McDonald?s locations in Indianapolis market; DoorDash ?80?85% of 3P sales, Uber Eats 10?12%, Grubhub remainder. 
- Current state: Using PrepProof; recent improvement recovering cancellations; example store had ~$891 refunds, recovered ~$1.9k including cancellations. Concerned about rising marketing spend (e.g., DD December: $65k sales; ~$8.9k commission/fees; ~$6.4k marketing). Limited control due to corporate/co-op promos (BOGOs, $15 spend offers). 
- Interest areas: 
 - Disputes/recoveries (wants % recovered and approach; asked if Loop pursues all vs. selective). 
 - CCTV integration for Uber evidence; questions about evidence scope; asked about ?scales? (advised to wait ~6 months). 
 - Financial visibility tool (daily, breakout of ads vs promos, order/store level margin, royalties/tax checks). 
 - Review automation (new to them). 
- Objections/risks: Annual contract; wants either references in their geo-market or opt-out clause if results don?t match/exceed current. Concerned Loop has no known Indy operators. 
- Pricing discussed: $199/location/month flat for all except marketing; $200 one-time implementation per location. Prices increased in 2026; prospect requested updated proposal with inclusions. 
- Next steps (owner: Alexis): 
 1) Confirm existing Loop McD operators in Indiana or nearby Chicago market and facilitate reference calls. 
 2) Send updated pricing and feature breakdown (disputes, financial visibility, reviews, CCTV option). 
 3) Ask CRO for annual with test period/opt-out (Jerry requested more than 30-day opt-out). 
 4) Share case studies comparing PrepProof vs Loop over a quarter+ (esp. cancellations and Uber with CCTV). 
- Success criteria: Match/exceed current recovery performance; clear visibility into fees/marketing impact; acceptable contract flexibility.
12/5/25: Met with Jerry Crabtree, owner/operator of 8 high-volume McDonald?s locations (one store with $1M/year in delivery sales, another $800K, one $600K, and the remainder between $300K?$500K?all strong delivery volumes). Currently using PrepProof for chargeback recovery and downtime management but experiencing some pain points: lack of communication, slow uptime response, suboptimal chargeback win rate (75?80%), and dissatisfaction with missed/canceled delivery order disputes (notably with DoorDash and Uber Eats' changing processes).
Demo focused on how Loop differs: flat-rate pricing (no % of refunds), broader dispute pool, combination of AI + human review, CCTV integration, and proactive chargeback/downtime management. Also highlighted Loop?s real-time reporting, operational ?State of the Union? emails, marketplace reputation management (review responses), in-depth financial reconciliation (royalties, delivery fees, sales tax), and optional AI-powered marketing optimization.
Jerry and (owner/operator Pete) expressed interest in visibility into true delivery costs and fees, especially to better manage high-volume stores and streamline reconciliation with accounting. Favorable response to Loop?s $149/store/month package, which includes all core recovery, downtime, review/ratings, and financial tools (excluding marketing, which can be added at any time).
Next steps: Alexis to send follow-up recap with deck, pricing, and customer references in their region. Jerry to review over the weekend and provide a decision Monday. Strong potential to convert from PrepProof to Loop for all locations.","","Standard","0","0","0","0","0","0","0","0","0"
"Mi Pueblo Mexican Restaurant","James Chavious","Olivia Johnson","Mi Pueblo Mexican Restaurant - Mi Pueblo Mexican Restaurant - 10","Mi Pueblo Mexican Restaurant","New Business","No Show","6000.00","","10","MM","12/4/2025","1/3/2026","30.0000000000","SDR","","","","Standard","0","0","0","0","0","0","0","0","0"
"Mi Pueblo Mexican Restaurant","Olivia Johnson","Olivia Johnson","Mi Pueblo Mexican Restaurant - Mi Pueblo Mexican Restaurant -","Mi Pueblo Mexican Restaurant","New Business","New - Meeting Set","0.00","","","Unknown","2/20/2026","3/22/2026","14.0000000000","SDR","","","","Standard","0","0","0","0","0","0","0","0","0"
"The Surf Bar","James Chavious","Olivia Johnson","The Surf Bar - The Surf Bar - 8","The Surf Bar","New Business","New - Meeting Set","0.00","","","Unknown","12/4/2025","1/3/2026","92.0000000000","SDR","","","","Standard","0","0","0","0","0","0","0","0","0"
"3 Pepper Burrito","James Chavious","Olivia Johnson","3 Pepper Burrito - 3 Pepper Burrito - 8","3 Pepper Burrito","New Business","New - Meeting Set","0.00","","","Unknown","12/4/2025","1/3/2026","92.0000000000","SDR","","","","Standard","0","0","0","0","0","0","0","0","0"
"Ocean Subs","Simon Salomon","Chandler Zombek","Ocean Subs - Subway - 25","Subway","New Business","No Show","0.00","","","Unknown","12/4/2025","1/3/2026","30.0000000000","SDR","","","","Standard","0","0","0","0","0","0","0","0","0"
"UpChurch","Sarra Herlich","Sarra Herlich","UpChurch - McDonald's -","McDonald's","New Business","New - Meeting Set","0.00","","","Unknown","12/5/2025","8/31/2026","91.0000000000","Trade Show","","","","Standard","0","0","0","0","0","0","0","0","0"
"JV&Sons","Sarra Herlich","Sarra Herlich","JV&Sons - McDonald's -","McDonald's","New Business","New - Meeting Set","12600.00","","21","MM","12/5/2025","3/31/2026","91.0000000000","Trade Show","","12/8/25: Intro call with JV&Sons (McDonald's franchisee, 21 locations in Tallahassee and Georgia, ~$3.1M AUV, ~$6M annual delivery revenue, recent 30% YoY delivery growth). Attendees: Raphael Vazquez (main contact, ops/finance), Daryl Moore (training supervisor; key user). Their team currently uses Otter for chargebacks and store downtime. Loop?s full platform overview delivered; JV&Sons does not currently track error/inaccuracy rates or respond to marketplace reviews, nor do they dispute missed/canceled orders/driver wait time. They see value in Loop?s tools, specifically in admin (tax/journal entry automation), CCTV integration, and reporting. Pricing (up to $149/location) well-received. Next steps: JV&Sons to review Otter contract/features, discuss internally with additional stakeholders (David, Ozzy), and reconvene Friday for follow-up. Sarra to send call recap, deck, and pricing details.","","Standard","0","0","0","0","0","0","0","0","0"
"PDS Inc","Matt Bullock","Jimmy Schrepel","PDS Inc - McDonald's -","McDonald's","New Business","Closed Lost","2400.00","","4","SMB","12/5/2025","1/4/2026","30.0000000000","SDR","","12/15/25: Spoke with Jennifer Yaw (PDS Inc ? McDonald?s) regarding Loop?s third-party delivery profitability tool. Jennifer currently does not dispute chargebacks?she deducts them from sales but recognizes money is being left on the table, especially in her two high-volume stores located in higher-risk neighborhoods. Major interest is in the chargeback dispute/recovery feature; less immediate need for store downtime or accounting/marketing modules, as downtime is rare and accounting is handled by a CPA. Pricing discussed: ~$75?$85/month per store for the Protect package (chargeback recovery + downtime); other modules available separately.
Jennifer is reviewing other vendors as well, and wants to compare options?requested follow-up pricing info via email and prefers to revisit the conversation after the holidays (early January). Follow up as scheduled and be prepared to address detailed questions on cost, competitive differentiation (esp. fee structures), and workflow/process for chargeback recovery.","non-responsive","Standard","0","0","0","0","0","0","0","0","0"
"Kuehl Enterprises","Simon Salomon","Chandler Zombek","Kuehl Enterprises - McDonald's -","McDonald's","New Business","Closed Lost","5940.00","","5","SMB","12/5/2025","1/4/2026","30.0000000000","SDR","","12/8/25: James Kuehl, owner/operator of 6 McDonald's locations (primarily rural) in Kansas City, joined the call. Five stores are on DoorDash, two on Uber Eats. Third-party delivery is a low percentage of sales; limited visibility and marketing effectiveness are the primary challenges, but current ranking is #2 for both ""burgers"" and ""fast food"" on DoorDash without extra spend. Chargebacks are low (~$355 in Nov across 5 stores). Bookkeeping is outsourced to Aprio, who are compatible with Loop. Main interest in Loop is ROI on chargeback recovery?James is open to Loop Essentials if the implementation fee is waived. Contract for 5 stores is possible by end of week if fee waiver is secured. Next step: confirm fee waiver and send contract to James for review.","Danger Zone - only $350 on chargebacks per month across all stores","Standard","0","0","0","0","0","0","0","0","0"
"M + J","Simon Salomon","Chandler Zombek","M + J - McDonald's -","McDonald's","New Business","Demo","18360.00","","17","MM","12/5/2025","3/26/2026","91.0000000000","SDR","","12/12/25: Met with Michael Delligatti (M&J McDonald?s operator, 17 locations). Currently uses Park Delegate for chargebacks and some store uptime but was interested to hear how Loop differs. Michael indicated Delegate charges a flat fee per restaurant (not percentage-based, though not certain). Loop?s differentiators discussed: (1) pursuing the full chargeback pool (not just a portion), (2) operations improvement reporting, (3) reason-based store restore, (4) automated third-party bookkeeping, and (5) location-specific third-party marketing.
Michael?s third-party delivery is ~7% of sales, with interest in growing this channel. Current error rates and chargeback recovery from Delegate are unknown. Michael is open to comparing outcomes but says changes are not likely until Q2 2026 due to current technology projects. Requested deck/summary and pricing info ($90/store for basic, $149 incl. bookkeeping, $249 incl. marketing). Open to a future follow-up and potential intro to other McDonald?s clients. No contract in place with Delegate; can switch anytime. Next action: send materials for review, follow-up in late March unless earlier interest. Michael might be amenable to a free analysis if platform access is provided.","","Standard","0","0","0","0","0","0","0","0","0"
"Price Boxley - McDonald's 25","Charles Kagahastian","Spencer Epps","Price Boxley - McDonald's 25 - McDonald's -","McDonald's","New Business","Demo","15000.00","","25","MM","12/5/2025","3/31/2026","91.0000000000","SDR","","","","Standard","0","0","0","0","0","0","0","0","0"
"My Burger USA","Alexis Marrero","Alexis Marrero","My Burger USA - My Burger - 11","My Burger","New Business","Closed Lost","19800.00","","11","MM","12/5/2025","1/4/2026","30.0000000000","Trade Show","RFDC","12/19/25: Initial marketing analysis presented to My Burger USA (Josie Franske, Patrick Cattoor, John?did not attend) by Alexis Marrero. Key findings: Increased marketing spend on delivery apps (Uber Eats, DoorDash) showed little to no sustained incremental sales, with instances of spend cannibalizing organic traffic. Some locations rank low organically on third-party platforms, impacting visibility. Two optimization strategies discussed: (1) Reallocating current marketing spend could drive 3% YoY sales growth (~$26.4K), (2) Increasing spend by 2% could yield up to 6?7% growth (~$57K). Recommended to avoid one-size-fits-all and evergreen campaigns; instead, allocate budget more efficiently by location/season. Loop AI solution pitched at $99/location/month with one-time $99 setup per site, annual contract; implementation includes onboarding, dashboard training, and ongoing human support. Contract and deck to be sent for review. Next steps: My Burger USA team to review contract/terms and consider alignment with 2026 budget.","My Burger has contracted UE spend that mandates them to discount 1/3 of the basket size for all locations for the length of the contract. Can Loop still provide TrurOI+ Plan gen services for this use case? They can not use Plan gen","Standard","1","0","0","1","1","0","0","1","0"
"Jami Porter - Culvers","Charles Kagahastian","Spencer Epps","Jami Porter - Culvers - Culver's -","Culver's","New Business","Closed Lost","600.00","","1","SMB","12/8/2025","1/7/2026","30.0000000000","SDR","","","unresponsive","Standard","0","0","0","0","0","0","0","0","0"
"Meauxmentum Strategies & Investments","Devyn Schwartzberg","Tyrell Belle","Meauxmentum Strategies & Investments - 113","","New Business","Demo","78600.00","","131","Ent","12/8/2025","1/7/2026","88.0000000000","SDR","","12/8/25: Spoke with Anthony Hearst from Meauxmentum Strategies & Investments regarding Loop AI?s platform as a potential replacement/upgrade to Otter for their 131-location franchise group (Taco Bell, Wingstop, Chicken Salad Chick) across 7 states. Current pain points include manual reconciliation processes, marketing spend optimization, and operational downtime losses.
Highlighted Loop AI?s differentiation in:
- Automated, granular reconciliation (direct Sage Intacct integration)
- Advanced refund recovery (incl. missed/cancelled order recovery, audit trail, operational vs. bulk/retroactive approach)
- Downtime logic and recovery (real-time monitoring, significant impact on sales)
- Data-driven, store-by-store marketing spend optimization (not just top line growth, but incremental EBITDA)
Anthony expressed particular interest in the marketing tools, but appreciated the holistic approach. Requested follow-up materials for internal review, with next possible steps after their team assessment. Follow-up: Send product overview/resources, reconnect before the holidays if there?s internal interest.","","Standard","0","0","0","0","0","0","0","0","0"
"Testwt Corp","Sales Ops","Sales Ops","Testwt Corp - Fake Testwt -","Fake Testwt","New Business","New - Meeting Set","0.00","","","Unknown","12/8/2025","1/7/2026","88.0000000000","SDR","","","","Standard","0","0","0","0","0","0","0","0","0"
"Leaf & Grain","Matt Bullock","Jimmy Schrepel","Leaf & Grain - Leaf & Grain  - 6","Leaf & Grain","New Business","No Show","0.00","","","Unknown","12/8/2025","1/7/2026","30.0000000000","SDR","","","","Standard","0","0","0","0","0","0","0","0","0"
"Bell Restaurant Group","Sarra Herlich","Brad Dressler","Bell Restaurant Group - McDonald's -","McDonald's","New Business","Closed Lost","21384.00","","18","MM","12/8/2025","2/28/2026","82.0000000000","SDR","","","went ghost","Standard","0","0","0","0","0","0","0","0","0"
"New Braunfels Wings","Simon Salomon","Chandler Zombek","New Braunfels Wings - Jimmy John's -","Jimmy John's","New Business","No Show","0.00","","","Unknown","12/9/2025","1/8/2026","30.0000000000","SDR","","","","Standard","0","0","0","0","0","0","0","0","0"
"Godfather's Pizza","Tyrell Belle","Tyrell Belle","Godfather's Pizza - Godfather's Pizza - 95","Godfather's Pizza","New Business","New - Meeting Set","0.00","","","Unknown","12/9/2025","1/8/2026","87.0000000000","SDR","","","","Standard","0","0","0","0","0","0","0","0","0"
"Gary Staub - Jersey Mikes 5","Charles Kagahastian","Spencer Epps","Gary Staub - Jersey Mikes 5 - Jersey Mike's Subs -","Jersey Mike's Subs","New Business","No Show","3000.00","","5","SMB","12/9/2025","1/8/2026","30.0000000000","SDR","","","","Standard","0","0","0","0","0","0","0","0","0"
"Fortuna Bakery - 10 loc","Simon Salomon","Chandler Zombek","Fortuna Bakery - 13 loc -  -","","New Business","Demo","23244.00","","13","MM","12/9/2025","3/31/2026","87.0000000000","SDR","","12/10/25: Jean Lausell (CTO, Fortuna Bakery - 13 stores total, 9 under Fortuna brand) attended the call and is the primary decision maker, though final approval sits with Ricardo (owner). Fortuna is actively seeking to improve its online presence, increase third-party delivery sales (currently ~5-7%, wants to reach 25% of sales), and ramp up marketing efforts as they pursue USDA certification to enable frozen product shipping. Current setup includes Square POS, Stream (order aggregator, but experiencing issues), and DoorDash/Uber Eats (with limited success, considering dropping Grubhub). Jean is testing $200/week marketing budgets at three stores. Major pain points: high chargebacks (notably with previous platform, now ~4% on Uber Eats), manual/inefficient store uptime management, lack of data-driven marketing, and a need for better operational visibility before scaling spend.
Interest in Loop is strong, especially for automating dispute/chargeback recovery, reducing downtime, marketing optimization, and potential bookkeeping automation (integration needed with QuickBooks Desktop and Square POS). Jean is also considering replacing Stream with a more stable order aggregator, possibly Olo. Next steps: Jean to review Olo and internal budgeting, with a follow-up call scheduled (including finance/accounting team) to demo Loop?s bookkeeping features and discuss possible rollout (initial focus on recover/guard and marketing, then potentially bookkeeping). Pricing and ability to consolidate/remove redundant tools will be key factors in the decision.","","Standard","0","0","0","0","0","0","0","0","0"
"JM Team LA","Sarra Herlich","Brad Dressler","JM Team LA - Jersey Mike's Subs -","Jersey Mike's Subs","New Business","Demo","6600.00","","11","MM","12/10/2025","3/31/2026","86.0000000000","SDR","","","","Standard","0","0","0","0","0","0","0","0","0"
"Crumble and Whisk","James Chavious","Olivia Johnson","Crumble and Whisk - Crumble & Whisk - 1","Crumble & Whisk","New Business","New - Meeting Set","0.00","","","Unknown","12/10/2025","1/9/2026","86.0000000000","SDR","","","","Standard","0","0","0","0","0","0","0","0","0"
"SourDough and Co -Rakesh","Alexis Marrero","Nick Barbo","SourDough and Co + Baskin Robins","","New Business","Closed Lost","5952.00","","4","SMB","12/10/2025","2/9/2026","61.0000000000","SDR","","12/10/25: Rakesh S Mehta (SourDough & Co, Baskin Robbins franchisee in CA) met with Alexis to learn about Loop AI's delivery profitability tools. Rakesh?s brands generate significant delivery volume: Sourdough locations do ~$1M/year (20% from delivery), Baskin Robbins does ~$500?600k/year (10?15% delivery). Rakesh manages DoorDash/UberEats promos personally and is primarily interested in ROI-driven marketing strategies to increase business, while skeptical about paying for tools that don?t yield visible returns.
Key interests:
- Most interested in the marketing optimization tool; less concerned with operations/downtime or chargeback tools due to currently low impact
- Seeks location/brand-specific, goal-oriented recommendations (e.g., 5?10% sales growth)
- Requested annual contract *with* opt-out clause if not seeing results in 60 days; sees $149/store/month as significant and wants to ensure positive ROI
- Wants references/testimonials from similar sandwich operations in CA/AZ/NV (91737 zip), especially from known brands (e.g., Jersey Mike's, Chiba Hut)
- Interested in hearing about Inspire Brands case studies/partners
Next steps: Alexis to send follow-up email with pricing, testimonials, references, and details on opt-out provision. Rakesh to review and regroup by Friday to discuss potential for immediate implementation if value is clear.","non ICP , barely any delivery","Standard","0","0","0","0","0","0","0","0","0"
"DineAmic Hospitality","Matt Bullock","Vianny Gutierrez","DineAmic Hospitality","","New Business","Closed Won","16200.00","","9","SMB","12/10/2025","3/2/2026","82.0000000000","SDR","","2/2/26: - Stakeholders: Luke Domask (primary), Alexios (CMO). Org: DineAmic Hospitality ? Corporate. 
- Interest: Strong buy-in for Loop True ROI Plus to optimize 3PD marketing (DoorDash + Uber Eats); values centralized view, AI-driven plan generation, automated campaign launch, and reduced cannibalization. Budget example: ~$3K/month cap on Uber Eats; wants to stretch dollars and focus on underperforming 5 of 9 delivery locations. 
- Current stack: Active on DoorDash and Uber Eats; Grubhub being added with co-funding. Prefers DoorDash audience fit; currently only marketing on Uber due to contract. 
- Pain points: Manual, time-consuming reporting across platforms; Uber?s console usability; lack of trustworthy, platform-agnostic guidance; limited bandwidth to dispute chargebacks. 
- Product fit: 
 - True ROI Plus at $150/store/mo is the priority. Ability to generate, approve, and launch campaigns directly in DD/UE, with cohort targeting and budget constraints honored. 
 - Recover (chargebacks) and Guard (downtime) are of interest but not immediate; accounting currently handles disputes, limited manpower to contest all. 
 - Balance (reconciliation) lower priority now; request for automated weekly location-level sales snapshots emailed to specific recipients (no store-level portal access). 
 - Grubhub: Data ingestion OK; True ROI Plus not yet for GH. 
- Integration: Simple?add Loop user emails as DD Business Group Admin and UE Store Manager; 7 days for historical data ingest; campaigns can go live next day post-onboarding. 
- Next steps: Send follow-up with pricing breakdown per module, onboarding steps, confirmation of automated weekly email reports (sales/payouts by location), and clarify Recover/Guard value and opt-in. Timing: They had a hard stop; awaiting our email. Owner: Matt Bullock.","","Opt Out","0","1","0","0","1","0","0","1","0"
"Merchant Investments","Charles Kagahastian","Spencer Epps","Merchant Investments - Jimmy John's -","Jimmy John's","New Business","Closed Lost","18600.00","","31","MM","12/11/2025","1/10/2026","30.0000000000","SDR","","","unresponsive","Standard","0","0","0","0","0","0","0","0","0"
"Pure Green","Devyn Schwartzberg","Nick Barbo","Pure Green - Pure Green - 100","Pure Green","New Business","Demo","0.00","","","Unknown","12/11/2025","1/10/2026","85.0000000000","SDR","","","","Standard","0","0","0","0","0","0","0","0","0"
"The Juicy Crab","Alex Reyes","Tyrell Belle","The Juicy Crab - 53","The Juicy Crab","New Business","Pilot","41800.00","","22","MM","12/11/2025","1/10/2026","85.0000000000","SDR","","2/24/26: MP Meeting recap for The Juicy Crab - 53 (Feb 24, 2026):
- Loop AI pilot (22 locations, live since early Jan) results shared by Alex Reyes and Jon Cruz:
 - $12.7k recovered in 5?6 weeks from customer refunds, fraud, missed/cancelled orders; avg recovery now ~$420/location/month vs ~$65 prior; 91% dispute win rate (potentially higher with CCTV integration).
 - Downtime reduced from ~2.5% to ~1.78%; goal","","Pilot","0","0","0","1","1","0","0","1","0"
"West Coast Sourdough","Devyn Schwartzberg","Nick Barbo","West Coast Sourdough - West Coast Sourdough - 60","West Coast Sourdough","New Business","New - Meeting Set","0.00","","","Unknown","12/11/2025","1/10/2026","85.0000000000","SDR","","","","Standard","0","0","0","0","0","0","0","0","0"
"Falcon Holdings Management LLC","Devyn Schwartzberg","Vianny Gutierrez","Falcon Holdings Management LLC","","New Business","Demo","180000.00","","300","Ent","12/12/2025","1/11/2026","84.0000000000","SDR","","","No engagement","Standard","0","0","0","0","0","0","0","0","0"
"Sandwich Squad, Inc.","Simon Salomon","Josue Sanchez","Sandwich Squad, Inc. - Jimmy John's -","Jimmy John's","New Business","No Show","0.00","","","Unknown","12/12/2025","1/11/2026","30.0000000000","SDR","","","","Standard","0","0","0","0","0","0","0","0","0"
"Crave Foods","Alexis Marrero","Brad Dressler","Crave Foods - Jersey Mike's Subs -","Jersey Mike's Subs","New Business","Demo","7128.00","","6","SMB","12/12/2025","3/28/2026","84.0000000000","SDR","","12/15/25: Opportunity with Crave Foods (Jersey Mike?s Subs) involved discussing Loop?s suite of tools with Cesar Saucedo (operator of 6 Jersey Mike's locations). Key pain points were compared against current provider (Delegate), notably in chargeback recovery and delivery operations. Cesar confirmed ~32-33% of sales come from 3rd party delivery (Uber Eats, DoorDash, Grubhub); current tools (Delegate) only recover chargebacks, not missed/canceled orders.
Loop?s advantages highlighted included: 
- AI + human-powered chargeback, missed, and canceled order recovery (often 2-10x more than Delegate)
- Proactive store uptime management to minimize downtime
- Data-backed, AI-driven delivery marketing (restaurant/location-specific), automated campaign creation and optimization
- Automated replies to 3rd party app reviews, with optional coupon recovery
- Detailed financial reconciliation to ensure accurate royalty/tax payments and minimize overpayment
Cesar and business partner JC handle operations and data/marketing, respectively. Currently, no structured process for review replies and marketing analysis is done manually post-campaign.
Pricing discussed: $149/mo for marketing tool, $199/mo for bundle (Recover + Uptime + Marketing), up to $299/mo per store for the full suite. Flexible, package-based pricing requested; possibility to mix/match by location.
Next steps: Alexis to send recap and pricing/packages for internal review. Cesar will discuss with JC upon return from holidays (aiming for mid-January 2026 follow up). Annual contract is standard, but opt-out after 1 month pilot possible if needed. Decision likely after Jan 10th, after internal business partner review. Opportunity to replace Delegate, increase recovery, improve marketing ROI, and streamline accounting/reconciliation.","","Standard","0","0","0","0","0","0","0","0","0"
"MCL Corporation","Simon Salomon","Chandler Zombek","MCL Corporation","McDonald's","New Business","Demo","10800.00","","10","MM","12/12/2025","3/31/2026","84.0000000000","SDR","","12/16/25: Michael Love (MCL Corporation ? McDonald?s) is interested in Loop AI?s offerings, specifically the Recover and Guard products, and is open to adding Re-Engage. Key concerns are around onboarding support and whether Loop AI will provide ongoing assistance rather than ?selling and leaving.? Michael emphasized that adoption depends on confidence in results, citing a preference for data/testimonials from other McDonald?s operators who have switched from PrepProof to Loop. Pricing is not a major objection if ROI is demonstrated. Michael is the FAC digital lead for the Nashville field office and has shared initial positive feedback about Loop AI with their peer group. Next steps: Simon to provide user testimonials, case data, or arrange a peer introduction. Timeline for decision is open, dependent on follow-up and proof points. Onboarding expected to be straightforward if Loop AI provides support.
12/15/25: Michael Love (MCL Corporation/McDonald?s) attended an intro/demo call regarding Loop?s third-party delivery optimization platform. Michael is currently using PrepProof for automated recovery but is open to evaluating alternatives, citing PrepProof?s 20% fee and ease of use as benefits. Simon positioned Loop as a superior solution?recovering more funds per cycle (by going after the full disputable pool, not just ?easy pickings?), no % of recovery charged (flat $99/location/month), and offering greater transparency and automation in bookkeeping, operations, and marketing optimization.
Key pain points discussed:
- Lack of transparency and high costs around third-party delivery fees (e.g., DoorDash ~15%)
- Existing recovery with PrepProof is low-touch but possibly leaving money on the table
- Bookkeeping complexities from order discrepancies, leading to potential overpayment of sales tax on canceled orders
- No automated management for store downtime or marketing (currently mostly passive or via co-op/partner promotions)
- Interest in understanding optimal delivery pricing markups (currently ~25?26% via McDonald?s smart pricing advisor)
Michael expressed interest in Loop?s value proposition (particularly recovery, transparency, and overall sales ops improvement) and agreed to another meeting to review pricing in detail and see further demo. No objections beyond clarifying math around new fee model vs. % recovery. Opportunity to pursue with focus on recovery rates, operational insights, and actual ROI demonstrated for similar McDonald?s clients.","","Standard","0","0","0","0","0","0","0","0","0"
"Big City Wings","Simon Salomon","Danny Park","Big City Wings","","New Business","No Show","2400.00","","4","SMB","12/12/2025","1/11/2026","30.0000000000","SDR","","","","Standard","0","0","0","0","0","0","0","0","0"
"A Cup of Organic","James Chavious","Olivia Johnson","A Cup of Organic - A Cup of Organic  - 5","A Cup of Organic","New Business","No Show","0.00","","","Unknown","12/15/2025","1/14/2026","30.0000000000","SDR","","","","Standard","0","0","0","0","0","0","0","0","0"
